Wavelength,0.115MB_AuNP_MQW,0.115MB_cenAuNP_MQW,0.30MB_AuNP_MQW,0.30MB_cenAuNP_MQW,0.115MB_AuNP_As30,0.115MB_cenAuNP_As30,0.30MB_AuNP_As30_1,0.30MB_cenAuNP_As30
200.0,0.37239,0.29498,0.26086,0.28961,0.36463,0.30958,0.26196,0.18362
201.0,0.35596,0.28816,0.24227,0.27381,0.34986,0.30218,0.24929,0.17868
202.0,0.34378,0.28129,0.22597,0.25945,0.33858,0.29557,0.23666,0.1708
203.0,0.33264,0.27874,0.21289,0.24801,0.32429,0.28856,0.22575,0.16747
204.0,0.32425,0.27351,0.20327,0.23573,0.31542,0.28017,0.21685,0.16133
205.0,0.31491,0.26883,0.19622,0.22583,0.30819,0.27626,0.20979,0.15805
206.0,0.30744,0.26779,0.1877,0.21922,0.29902,0.27462,0.20236,0.15463
207.0,0.30075,0.26434,0.18359,0.21167,0.29271,0.26947,0.19681,0.15299
208.0,0.29554,0.26124,0.17733,0.20371,0.2882,0.26538,0.19354,0.14831
209.0,0.28891,0.26115,0.17176,0.19674,0.28261,0.26239,0.18855,0.14728
210.0,0.28569,0.26011,0.1665,0.19174,0.27791,0.25974,0.1843,0.14717
211.0,0.28007,0.25671,0.16212,0.18728,0.27262,0.25867,0.17896,0.14356
212.0,0.27764,0.2557,0.16014,0.18379,0.26892,0.25731,0.17618,0.14542
213.0,0.27392,0.25523,0.15766,0.17957,0.26585,0.2546,0.17256,0.14344
214.0,0.27013,0.253,0.15492,0.17619,0.26152,0.25331,0.16906,0.14273
215.0,0.26894,0.25346,0.15232,0.17487,0.25839,0.25287,0.16693,0.14216
216.0,0.26668,0.25025,0.14947,0.17155,0.25572,0.24853,0.1637,0.1403
217.0,0.26385,0.25031,0.14815,0.1687,0.25219,0.24697,0.16147,0.14018
218.0,0.2612,0.24755,0.14654,0.16531,0.24907,0.24629,0.15839,0.1385
219.0,0.25875,0.24684,0.14417,0.16422,0.24596,0.2447,0.15664,0.13853
220.0,0.25582,0.24484,0.14168,0.16164,0.242,0.24284,0.15364,0.1366
