Metric,Edge_Mean,Middle_Mean,Edge_Worst,Middle_Best,Worst_to_Best_Ratio,Overall_Std,Coeff_Variation,Range,Edge_0,Edge_60,Middle_20,Middle_30,Badness_Score
Peak_Lambda_Error_nm,229.5,0.0,459.0,0.0,inf,187.38596532291314,2.4494897427799764,459.0,0.0,459.0,0.0,0.0,459.0
Derivative_MSE,2.6e-05,0.0,4.9e-05,0.0,inf,1.97956224117017e-05,2.2840839234587715,4.9e-05,3e-06,4.9e-05,0.0,0.0,4.9e-05
R2_Score,-20.137708000000003,0.910799,34.129178,0.893915,38.17944435432899,13.953420035856455,2.2465684889543494,35.056861000000005,-6.146238,-34.129178,0.893915,0.927683,33.235263
Peak_Abs_Error,0.088412,0.0056549999999999994,0.16084,0.002322,69.26787252368649,0.06189230892580004,1.7556524591238079,0.15851800000000002,0.015984,0.16084,0.002322,0.008988,0.15851800000000002
DTW_Distance,0.052098,0.0018505000000000001,0.072083,0.001309,55.067226890756295,0.028423599634224136,1.475847837997803,0.07077399999999999,0.032113,0.072083,0.002392,0.001309,0.07077399999999999
Wasserstein,0.0701875,0.004477,0.102926,0.004067,25.307597737890337,0.03911921696770868,1.4289515877489611,0.098859,0.037449,0.102926,0.004887,0.004067,0.098859
Area_Diff,34.337033,2.3661515,50.621005,2.109209,23.999994784774767,19.031522885002865,1.3879666612384685,48.511796,18.053061,50.621005,2.623094,2.109209,48.511796
Max_Error,0.233821,0.016531,0.33664,0.014027,23.999429671348114,0.1266925288101078,1.3520143071708624,0.322613,0.131002,0.33664,0.019035,0.014027,0.322613
Frechet_Dist,0.233821,0.016531,0.33664,0.014027,23.999429671348114,0.1266925288101078,1.3520143071708624,0.322613,0.131002,0.33664,0.019035,0.014027,0.322613
MAE,0.0776415,0.005523999999999999,0.11111,0.00463,23.99784017278618,0.04183434214454276,1.3432696431660518,0.10648,0.044173,0.11111,0.006418,0.00463,0.10648
RMSE,0.0968165,0.0069134999999999995,0.138067,0.005753,23.999130888232223,0.051999286270742864,1.3382792444687543,0.132314,0.055566,0.138067,0.008074,0.005753,0.132314
MAPE,74.1494065,4.3060035,100.749683,3.78938,26.587379201874715,38.77323678482156,1.3309128975245081,96.96030300000001,47.54913,100.749683,4.822627,3.78938,96.96030300000001
SAM_radians,0.5723055,0.042824,0.623553,0.035179,17.725148526109326,0.26383710125637505,1.120209268000844,0.5883740000000001,0.623553,0.521058,0.050469,0.035179,0.5883740000000001
KL_Divergence,0.5055205,0.030502,0.517471,0.027249,18.990458365444606,0.22838982784565223,1.066137023408158,0.490222,0.49357,0.517471,0.033755,0.027249,0.490222
Power_Ratio,2.3828025,0.997333,4.045042,0.928178,4.3580455472980395,1.2757697449226093,0.8750672588167124,3.3244789999999997,0.720563,4.045042,0.928178,1.066488,2.9785539999999995
JS_Distance,0.31633900000000004,0.089056,0.324021,0.08044,4.0281079065141725,0.1048287803344101,0.5587739147599089,0.243581,0.324021,0.308657,0.097672,0.08044,0.243581
FWHM_Diff,519.0,212.5,569.0,18.0,31.61111111111111,191.98298535720988,0.4901693243161554,551.0,569.0,469.0,407.0,18.0,551.0
Spearman_R,0.2844545,0.957354,0.384869,0.927536,0.4149369943592486,0.31317293608420255,0.4770574285974286,0.8031320000000001,0.18404,0.384869,0.927536,0.987172,0.542667
Pearson_R,0.302623,0.9750655,0.382513,0.964959,0.39640337050589713,0.32831410793288596,0.45818996163827663,0.7624390000000001,0.382513,0.222733,0.964959,0.985172,0.582446
MS_SSIM,0.29431,0.894161,0.362142,0.852944,0.42457887035960157,0.29988254998426744,0.44519667328582535,0.7089000000000001,0.362142,0.226478,0.935378,0.852944,0.490802
SSIM,0.3454255,0.8976109999999999,0.419572,0.855475,0.49045501037435346,0.281099622632084,0.4014541809515928,0.6684680000000001,0.419572,0.271279,0.939747,0.855475,0.435903
Cosine_Sim,0.8395509999999999,0.999054,0.867293,0.998727,0.8683984712539061,0.08340901978023721,0.08828177657008304,0.18757199999999996,0.811809,0.867293,0.998727,0.999381,0.13143400000000005
FFT_Correlation,0.902787,0.9995815,0.929548,0.999467,0.9300437132991886,0.052672394304480466,0.05445977312978281,0.12367000000000006,0.876026,0.929548,0.999467,0.999696,0.06991899999999995
